1538,closed,XXX,TomaszKolek,03/08/2016,27/08/2016,Null
1536,closed,XXX,showell,03/08/2016,04/08/2016,Null
1534,closed,XXX,showell,03/08/2016,04/08/2016,Null
1531,closed,XXX,umairwaheed,03/08/2016,05/08/2016,Null
1524,closed,XXX,brainwane,02/08/2016,02/08/2016,02/08/2016
1523,closed,XXX,TomaszKolek,02/08/2016,03/08/2016,Null
1521,closed,XXX,christi3k,02/08/2016,02/08/2016,Null
1517,closed,XXX,christi3k,02/08/2016,25/08/2016,Null
1514,closed,XXX,rishig,02/08/2016,02/08/2016,Null
1513,closed,XXX,showell,02/08/2016,03/08/2016,Null
1504,closed,XXX,showell,01/08/2016,01/08/2016,Null
1502,closed,XXX,umairwaheed,01/08/2016,03/08/2016,Null
1501,closed,XXX,rosehosting,01/08/2016,02/08/2016,Null
1500,closed,XXX,showell,01/08/2016,01/08/2016,Null
1499,closed,XXX,showell,01/08/2016,02/08/2016,Null
1497,closed,XXX,showell,31/07/2016,01/08/2016,Null
1496,closed,XXX,TroJan,31/07/2016,02/08/2016,Null
1494,closed,XXX,ragsagar,31/07/2016,01/08/2016,Null
1493,closed,XXX,timabbott,31/07/2016,31/07/2016,Null
1487,closed,XXX,showell,30/07/2016,10/08/2016,Null
1484,closed,XXX,showell,30/07/2016,30/07/2016,Null
1481,closed,XXX,showell,30/07/2016,30/07/2016,Null
1475,closed,XXX,timabbott,29/07/2016,04/08/2016,Null
1471,closed,XXX,showell,29/07/2016,30/07/2016,Null
1469,closed,XXX,showell,29/07/2016,29/07/2016,29/07/2016
1468,closed,XXX,krtkmj,29/07/2016,01/08/2016,Null
1467,closed,XXX,TomaszKolek,29/07/2016,29/07/2016,Null
1466,closed,XXX,umairwaheed,29/07/2016,10/08/2016,Null
1465,closed,XXX,umairwaheed,29/07/2016,01/08/2016,Null
1464,open,XXX,galexrt,29/07/2016,Null,Null
1457,closed,XXX,timabbott,28/07/2016,02/08/2016,Null
1453,closed,XXX,brainwane,28/07/2016,28/07/2016,Null
1452,closed,XXX,brainwane,28/07/2016,02/08/2016,Null
1451,closed,XXX,sharmaeklavya2,28/07/2016,29/07/2016,Null
1448,closed,XXX,showell,28/07/2016,28/07/2016,Null
1447,closed,XXX,rwbarton,28/07/2016,28/07/2016,Null
1446,closed,XXX,umkay,28/07/2016,10/08/2016,10/08/2016
1445,closed,XXX,timabbott,28/07/2016,28/07/2016,Null
1443,closed,XXX,showell,28/07/2016,28/07/2016,Null
1442,closed,XXX,brainwane,28/07/2016,02/08/2016,Null
1440,closed,XXX,showell,27/07/2016,30/07/2016,Null
1439,closed,XXX,acrefoot,27/07/2016,18/08/2016,Null
1438,closed,XXX,sharmaeklavya2,27/07/2016,27/07/2016,Null
1437,closed,XXX,timabbott,27/07/2016,31/07/2016,Null
1436,closed,XXX,showell,27/07/2016,27/07/2016,Null
1434,closed,XXX,sharmaeklavya2,27/07/2016,30/07/2016,Null
1433,closed,XXX,rishig,27/07/2016,27/07/2016,Null
1432,open,XXX,krtkmj,27/07/2016,Null,Null
1431,closed,XXX,umairwaheed,27/07/2016,28/07/2016,Null
1430,closed,XXX,sharmaeklavya2,27/07/2016,27/07/2016,Null
1429,closed,XXX,timabbott,27/07/2016,27/07/2016,Null
1428,closed,XXX,timabbott,27/07/2016,27/07/2016,Null
1427,closed,XXX,showell,27/07/2016,27/07/2016,Null
1425,closed,XXX,showell,26/07/2016,27/07/2016,Null
1422,closed,XXX,TomaszKolek,26/07/2016,05/08/2016,Null
1408,closed,XXX,umairwaheed,26/07/2016,10/08/2016,Null
1407,closed,XXX,sharmaeklavya2,26/07/2016,26/07/2016,26/07/2016
1405,closed,XXX,sharmaeklavya2,26/07/2016,26/07/2016,Null
1404,open,XXX,umkay,26/07/2016,Null,Null
1401,closed,XXX,TomaszKolek,25/07/2016,04/08/2016,Null
1399,closed,XXX,showell,25/07/2016,25/07/2016,Null
1395,closed,XXX,sharmaeklavya2,25/07/2016,25/07/2016,Null
1394,closed,XXX,sharmaeklavya2,25/07/2016,25/07/2016,Null
1393,open,XXX,rahuldeve,24/07/2016,Null,Null
1392,closed,XXX,sharmaeklavya2,24/07/2016,25/07/2016,25/07/2016
1390,closed,XXX,showell,24/07/2016,25/07/2016,Null
1389,closed,XXX,showell,24/07/2016,24/07/2016,Null
1388,closed,XXX,sharmaeklavya2,24/07/2016,25/07/2016,Null
1387,closed,XXX,showell,23/07/2016,23/07/2016,Null
1385,closed,XXX,TroJan,23/07/2016,23/07/2016,Null
1384,closed,XXX,TroJan,23/07/2016,23/07/2016,Null
1383,closed,XXX,sharmaeklavya2,23/07/2016,23/07/2016,23/07/2016
1380,closed,XXX,showell,23/07/2016,23/07/2016,Null
1377,closed,XXX,rahuldeve,23/07/2016,27/07/2016,Null
1367,closed,XXX,sharmaeklavya2,22/07/2016,22/07/2016,Null
1363,closed,XXX,timabbott,22/07/2016,06/08/2016,Null
1362,closed,XXX,TroJan,22/07/2016,25/07/2016,Null
1361,closed,XXX,kritkaran94,22/07/2016,22/07/2016,Null
1360,closed,XXX,sharmaeklavya2,22/07/2016,22/07/2016,Null
1354,closed,XXX,sharmaeklavya2,21/07/2016,22/07/2016,Null
1350,closed,XXX,sharmaeklavya2,21/07/2016,23/07/2016,Null
1349,closed,XXX,sharmaeklavya2,21/07/2016,21/07/2016,21/07/2016
1346,closed,XXX,sharmaeklavya2,21/07/2016,21/07/2016,21/07/2016
1345,closed,XXX,umairwaheed,21/07/2016,29/07/2016,Null
