// ID,State,Author,Comment Amount,Date (Open),Date (Close),Date (Merge)
// Date pattern: DD/MM/YYYY
// Pulls from Repository: https://github.com/github/hubot

497,closed,XXX,aaronj1335,08/05/2013,08/05/2013,08/05/2013
496,closed,XXX,ronaldevers,05/05/2013,07/05/2013,07/05/2013
492,closed,XXX,kashyapp,01/05/2013,01/05/2013,Null
491,closed,XXX,brntbeer,01/05/2013,01/05/2013,01/05/2013
490,closed,XXX,aroben,29/04/2013,29/04/2013,29/04/2013
489,closed,XXX,shiwano,27/04/2013,01/05/2013,01/05/2013
483,closed,XXX,dianakhuang,23/04/2013,23/04/2013,23/04/2013
482,closed,XXX,kch,23/04/2013,23/04/2013,23/04/2013
481,closed,XXX,rafaelfranca,22/04/2013,22/04/2013,22/04/2013
479,closed,XXX,rafaelfranca,18/04/2013,18/04/2013,18/04/2013
475,closed,XXX,tombell,11/04/2013,11/04/2013,11/04/2013
472,closed,XXX,JetFault,08/04/2013,09/04/2013,09/04/2013
